"集合","题目","年份","会议或来源","级别","OpenAlex引用数","影响力判断","说明"
"原收集30篇","Σ-Mem: An Online Reliability Memory for LLM-based Multi-Agent Systems","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Remember and Reweight: Enhancing Multi-Agent Debate with Experience Memory and Confidence Estimation","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Multi-Agent Transactive Memory","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Multi-Agent Memory from a Computer Architecture Perspective: Visions and Challenges Ahead","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","MemoryArena: Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","MAP-Graph: Provenance-Aware Shared Memory for Multi-Agent Workflows","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","LEGOMem: Modular Procedural Memory for Multi-agent LLM Systems for Workflow Automation","2026","AAMAS","顶会","0","新近顶会/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","Learning What to Retain: Gated-Memory Routing for Efficient Collaboration in Multi-Agent LLM Systems","2026","EMNLP","顶会","0","新近顶会/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
"原收集30篇","LatticeMind: A Conflict-Aware Memory Primitive for Multi-Agent Systems","2026","arXiv","非顶会","0","前沿新作/待积累","引用数按 2026-09-13 查询，较新论文需要时间积累"
