"年份","特点分类","级别","会议或来源","题目","页数","来源说明","下载链接","本地路径"
"2026","05_一致性_治理与安全","非顶会","arXiv","Σ-Mem: An Online Reliability Memory for LLM-based Multi-Agent Systems","25","arXiv:2607.27958","https://arxiv.org/pdf/2607.27958","E:\CSwork\Resources\Papers\Multi-Agents\05_一致性_治理与安全\非顶会\arXiv\Σ-Mem- An Online Reliability Memory for LLM-based Multi-Agent Systems.pdf"
"2026","08_通信协议与协作机制","非顶会","arXiv","Verifiable Semantics for Agent-to-Agent Communication","7","arXiv:2602.16424","原有文件","E:\CSwork\Resources\Papers\Multi-Agents\08_通信协议与协作机制\非顶会\arXiv\Verifiable Semantics for Agent-to-Agent Communication.pdf"
"2026","08_通信协议与协作机制","非顶会","IEEE Transactions on AI","Talk Structurally, Act Hierarchically- A Collaborative Framework for LLM Multi-Agent Systems","24","IEEE Transactions on AI 2026; arXiv:2502.11098","原有文件","E:\CSwork\Resources\Papers\Multi-Agents\08_通信协议与协作机制\非顶会\IEEE Transactions on AI\Talk Structurally, Act Hierarchically- A Collaborative Framework for LLM Multi-Agent Systems.pdf"
"2026","03_分层_程序性与终身记忆","非顶会","arXiv","Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems","21","arXiv:2604.03295","https://arxiv.org/pdf/2604.03295","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\非顶会\arXiv\Scaling Teams or Scaling Time- Memory Enabled Lifelong Learning in LLM Multi-Agent Systems.pdf"
"2026","07_记忆增强推理与领域应用","非顶会","arXiv","Remember and Reweight: Enhancing Multi-Agent Debate with Experience Memory and Confidence Estimation","24","arXiv:2609.03619","https://arxiv.org/pdf/2609.03619","E:\CSwork\Resources\Papers\Multi-Agents\07_记忆增强推理与领域应用\非顶会\arXiv\Remember and Reweight- Enhancing Multi-Agent Debate with Experience Memory and Confidence Estimation.pdf"
"2026","02_共享协作与图记忆","非顶会","arXiv","Multi-Agent Transactive Memory","24","arXiv:2606.19911","https://arxiv.org/pdf/2606.19911","E:\CSwork\Resources\Papers\Multi-Agents\02_共享协作与图记忆\非顶会\arXiv\Multi-Agent Transactive Memory.pdf"
"2026","01_综述_分类与前瞻","非顶会","arXiv","Multi-Agent Memory from a Computer Architecture Perspective: Visions and Challenges Ahead","3","arXiv:2603.10062","https://arxiv.org/pdf/2603.10062","E:\CSwork\Resources\Papers\Multi-Agents\01_综述_分类与前瞻\非顶会\arXiv\Multi-Agent Memory from a Computer Architecture Perspective- Visions and Challenges Ahead.pdf"
"2026","06_基准评测与失效分析","非顶会","arXiv","MemoryArena: Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks","29","arXiv:2602.16313","https://arxiv.org/pdf/2602.16313","E:\CSwork\Resources\Papers\Multi-Agents\06_基准评测与失效分析\非顶会\arXiv\MemoryArena- Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks.pdf"
"2026","05_一致性_治理与安全","非顶会","arXiv","MAP-Graph: Provenance-Aware Shared Memory for Multi-Agent Workflows","14","arXiv:2608.10509","https://arxiv.org/pdf/2608.10509","E:\CSwork\Resources\Papers\Multi-Agents\05_一致性_治理与安全\非顶会\arXiv\MAP-Graph- Provenance-Aware Shared Memory for Multi-Agent Workflows.pdf"
"2026","03_分层_程序性与终身记忆","顶会","AAMAS","LEGOMem: Modular Procedural Memory for Multi-agent LLM Systems for Workflow Automation","10","AAMAS 2026; arXiv:2510.04851","https://arxiv.org/pdf/2510.04851","E:\CSwork\Resources\Papers\Multi-Agents\03_分层_程序性与终身记忆\顶会\AAMAS\LEGOMem- Modular Procedural Memory for Multi-agent LLM Systems for Workflow Automation.pdf"
