"研究支线","题目","年份","级别","会议或来源","阅读优先级","补充理由","本地路径"
"13_教学Agent与学生建模","IntelliCode: A Multi-Agent LLM Tutoring System with Centralized Learner Modeling","2025","非顶会","arXiv","S","版本化学习者状态、误概念、复习计划与参与度信号","E:\CSwork\Resources\Papers\Multi-Agents\13_教学Agent与学生建模\非顶会\arXiv\IntelliCode- A Multi-Agent LLM Tutoring System with Centralized Learner Modeling.pdf"
"13_教学Agent与学生建模","EducationQ: Evaluating LLMs' Teaching Capabilities Through Multi-Agent Dialogue Framework","2025","顶会","ACL","S","教师、学生、评估者多智能体教学能力评测","E:\CSwork\Resources\Papers\Multi-Agents\13_教学Agent与学生建模\顶会\ACL\EducationQ- Evaluating LLMs' Teaching Capabilities Through Multi-Agent Dialogue Framework.pdf"
"13_教学Agent与学生建模","SocraticLM: Exploring Socratic Personalized Teaching with Large Language Models","2024","顶会","NeurIPS","S","Dean-Teacher-Student 多智能体流水线与认知状态差异化教学","E:\CSwork\Resources\Papers\Multi-Agents\13_教学Agent与学生建模\顶会\NeurIPS\SocraticLM- Exploring Socratic Personalized Teaching with Large Language Models.pdf"
"13_教学Agent与学生建模","Simulating Classroom Education with LLM-Empowered Agents","2025","顶会","NAACL","A","多角色课堂模拟、控制机制与真实课程用户实验","E:\CSwork\Resources\Papers\Multi-Agents\13_教学Agent与学生建模\顶会\NAACL\Simulating Classroom Education with LLM-Empowered Agents.pdf"
"13_教学Agent与学生建模","LLM-powered Multi-agent Framework for Goal-oriented Learning in Intelligent Tutoring System","2025","非顶会","arXiv","A","目标导向个性化学习和多 Agent 教学流程","E:\CSwork\Resources\Papers\Multi-Agents\13_教学Agent与学生建模\非顶会\arXiv\LLM-powered Multi-agent Framework for Goal-oriented Learning in Intelligent Tutoring System.pdf"
"12_长期记忆与结构评测","STALE: Can LLM Agents Know When Their Memories Are No Longer Valid?","2026","非顶会","arXiv","S","专测隐式失效、旧记忆修正和更新后行动","E:\CSwork\Resources\Papers\Multi-Agents\12_长期记忆与结构评测\非顶会\arXiv\STALE- Can LLM Agents Know When Their Memories Are No Longer Valid-.pdf"
"12_长期记忆与结构评测","LongMemEval-V2: Evaluating Long-Term Agent Memory Toward Experienced Colleagues","2026","非顶会","arXiv","S","最多 500 条轨迹和 1.15 亿 token，联合考察准确率、延迟与证据压缩","E:\CSwork\Resources\Papers\Multi-Agents\12_长期记忆与结构评测\非顶会\arXiv\LongMemEval-V2- Evaluating Long-Term Agent Memory Toward Experienced Colleagues.pdf"
"12_长期记忆与结构评测","Evaluating Memory Structure in LLM Agents","2026","非顶会","arXiv","S","评估账本、列表、树等记忆结构组织能力","E:\CSwork\Resources\Papers\Multi-Agents\12_长期记忆与结构评测\非顶会\arXiv\Evaluating Memory Structure in LLM Agents.pdf"
"12_长期记忆与结构评测","Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions","2026","顶会","ICLR","S","覆盖准确检索、测试时学习、长程理解和冲突解决","E:\CSwork\Resources\Papers\Multi-Agents\12_长期记忆与结构评测\顶会\ICLR\Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions.pdf"
"12_长期记忆与结构评测","LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory","2025","顶会","ICLR","S","信息抽取、多会话/时间推理、知识更新和拒答的标准基准","E:\CSwork\Resources\Papers\Multi-Agents\12_长期记忆与结构评测\顶会\ICLR\LongMemEval- Benchmarking Chat Assistants on Long-Term Interactive Memory.pdf"
